year,id_,childs,educ,degree,partyid,polviews,gunlaw,owngun,ballot
2024,892,3,No formal schooling,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,893,1,4 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,894,2,1 year of college,High school,Strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,895,0,6 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot c
2024,896,4,1 year of college,High school,"Independent, close to republican",Conservative,OPPOSE,NO,Ballot a
2024,897,4,1 year of college,High school,"Independent, close to republican",Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,898,2,2 years of college,Associate/junior college,Not very strong democrat,Slightly liberal,FAVOR,.s:  Skipped on Web,Ballot c
2024,899,0,5 years of college,Bachelor's,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,900,1,2 years of college,High school,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot a
2024,901,1,9th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,902,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,903,0,6 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,904,2,3 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,905,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,906,1,5 years of college,Graduate,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot a
2024,907,4,8 or more years of college,Bachelor's,"Independent, close to republican",Conservative,FAVOR,YES,Ballot a
2024,908,2,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,909,0,6 years of college,Graduate,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,910,1,12th grade,High school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,911,2,3 years of college,Less than high school,Not very strong republican,Extremely conservative,FAVOR,NO,Ballot a
2024,912,2,7 years of college,Graduate,Strong democrat,Liberal,FAVOR,YES,Ballot c
2024,913,2,2 years of college,High school,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,914,0,1 year of college,High school,Not very strong republican,Slightly liberal,FAVOR,YES,Ballot c
2024,915,2,3 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,OPPOSE,YES,Ballot a
2024,916,3,5 years of college,Bachelor's,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,917,0,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,918,1,8 or more years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot c
2024,919,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,NO,Ballot c
2024,920,0,2 years of college,High school,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot a
2024,921,3,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,922,0,6 years of college,Graduate,Strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,923,0,2 years of college,High school,Not very strong democrat,Liberal,FAVOR,YES,Ballot a
2024,924,0,2 years of college,High school,Other party,Liberal,FAVOR,YES,Ballot a
2024,925,1,8 or more years of college,Graduate,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,926,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,927,1,5 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,928,0,6 years of college,Graduate,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,929,2,8 or more years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,930,2,4 years of college,Bachelor's,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,931,2,12th grade,High school,Strong democrat,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,932,0,4 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,933,5,1 year of college,High school,Strong democrat,Liberal,FAVOR,YES,Ballot a
2024,934,4,12th grade,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,935,1,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,936,1,8 or more years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,937,1,2 years of college,Associate/junior college,.n:  No answer,.s:  Skipped on Web,OPPOSE,.s:  Skipped on Web,Ballot a
2024,938,0,2 years of college,Associate/junior college,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,939,0,3 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,940,0,7 years of college,Graduate,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,941,0,2 years of college,High school,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,942,0,6 years of college,Graduate,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,943,0,4 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,944,0,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,FAVOR,YES,Ballot c
2024,945,.n:  No answer,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,946,2,2 years of college,High school,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot a
2024,947,2,6 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot a
2024,948,2,12th grade,High school,"Independent, close to democrat",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,949,4,12th grade,High school,Strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,950,0,2 years of college,High school,Strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,951,4,4 years of college,Bachelor's,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,952,0,8 or more years of college,Graduate,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,953,0,4 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,954,2,12th grade,.d:  Do not Know/Cannot Choose,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,955,2,4 years of college,Bachelor's,"Independent, close to democrat",.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,956,0,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,957,6,12th grade,High school,"Independent, close to democrat",Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,958,0,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,959,0,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,960,0,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,961,0,2 years of college,Associate/junior college,Not very strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,962,3,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,963,0,6 years of college,Graduate,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,964,0,12th grade,High school,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,965,0,2 years of college,Associate/junior college,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,966,0,1 year of college,High school,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,967,0,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,968,2,6 years of college,Graduate,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,969,2,6 years of college,Bachelor's,Strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,970,1,1 year of college,High school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,971,2,4 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,972,2,1 year of college,Less than high school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,973,2,2 years of college,High school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,974,0,1 year of college,High school,"Independent (neither, no response)",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,975,0,12th grade,High school,Not very strong republican,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,976,1,6 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,977,0,12th grade,High school,"Independent (neither, no response)",Extremely liberal,FAVOR,NO,Ballot c
2024,978,1,5 years of college,Bachelor's,"Independent (neither, no response)",Extremely conservative,FAVOR,NO,Ballot a
2024,979,5,12th grade,Less than high school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,980,3,12th grade,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,981,3,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,982,4,10th grade,Less than high school,Not very strong republican,Extremely conservative,FAVOR,NO,Ballot c
2024,983,4,12th grade,High school,Strong republican,Conservative,OPPOSE,NO,Ballot c
2024,984,2,4 years of college,Bachelor's,Strong republican,Extremely conservative,.d:  Do not Know/Cannot Choose,NO,Ballot c
2024,985,2,6 years of college,Graduate,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,986,1,4 years of college,Graduate,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,987,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,988,0,12th grade,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,989,4,1 year of college,High school,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot c
2024,990,0,8 or more years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,991,0,5 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,992,0,4 years of college,Graduate,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,993,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,994,0,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,995,0,8 or more years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,996,0,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,997,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,998,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,999,0,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,REFUSED,Ballot c
2024,1000,0,6 years of college,Graduate,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,1001,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1002,0,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1003,4,2 years of college,Associate/junior college,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,1004,3,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1005,0,2 years of college,Associate/junior college,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1006,0,3 years of college,Graduate,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,1007,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1008,3,4 years of college,Graduate,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1009,4,1 year of college,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1010,2,12th grade,High school,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1011,4,9th grade,Less than high school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot a
2024,1012,5,12th grade,Less than high school,"Independent (neither, no response)",Extremely conservative,OPPOSE,NO,Ballot a
2024,1013,0,2 years of college,High school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1014,2,2 years of college,Associate/junior college,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1015,6,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1016,5,2 years of college,Associate/junior college,"Independent, close to democrat",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot c
2024,1017,1,4 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1018,0,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,FAVOR,NO,Ballot a
2024,1019,0,2 years of college,Associate/junior college,"Independent (neither, no response)",Slightly liberal,FAVOR,YES,Ballot a
2024,1020,5,5 years of college,Bachelor's,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot c
2024,1021,1,2 years of college,High school,"Independent (neither, no response)",Slightly conservative,FAVOR,NO,Ballot a
2024,1022,0,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1023,0,4 years of college,High school,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,1024,0,4 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1025,1,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1026,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1027,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1028,2,2 years of college,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1029,3,2 years of college,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1030,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1031,0,8 or more years of college,Graduate,"Independent, close to democrat",Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1032,1,8 or more years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1033,0,5 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1034,1,6 years of college,Graduate,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1035,0,5 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",OPPOSE,REFUSED,Ballot a
2024,1036,1,6 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1037,3,12th grade,High school,Not very strong republican,Conservative,FAVOR,NO,Ballot a
2024,1038,2,2 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1039,0,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1040,1,5 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1041,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,1042,5,11th grade,High school,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,1043,7,3 years of college,High school,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,1044,1,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,1045,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1046,3,12th grade,High school,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot c
2024,1047,1,5 years of college,Associate/junior college,Not very strong republican,Slightly conservative,OPPOSE,YES,Ballot c
2024,1048,0,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,.s:  Skipped on Web,Ballot c
2024,1049,0,7th grade,Less than high school,Not very strong democrat,"Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,1050,1,12th grade,High school,Strong democrat,Extremely liberal,FAVOR,NO,Ballot c
2024,1051,0,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,1052,1,2 years of college,Associate/junior college,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1053,0,6 years of college,Associate/junior college,Other party,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1054,0,12th grade,High school,Strong republican,Extremely liberal,FAVOR,NO,Ballot c
2024,1055,1,1 year of college,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1056,0,9th grade,Less than high school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1057,0,2 years of college,Associate/junior college,Strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,1058,0,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1059,0,6 years of college,Associate/junior college,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1060,0,2 years of college,High school,"Independent, close to democrat",Extremely liberal,.s:  Skipped on Web,NO,Ballot a
2024,1061,0,7 years of college,Graduate,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
2024,1062,.n:  No answer,4 years of college,Bachelor's,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1063,3,1 year of college,High school,"Independent, close to republican",Extremely conservative,OPPOSE,NO,Ballot a
2024,1064,0,4 years of college,Bachelor's,Strong republican,Conservative,FAVOR,YES,Ballot c
2024,1065,3,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1066,0,6 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1067,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1068,0,12th grade,High school,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1069,0,4 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1070,0,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1071,0,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1072,1,2 years of college,Associate/junior college,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,1073,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,1074,1,1 year of college,High school,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot c
2024,1075,0,1 year of college,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1076,2,4 years of college,High school,"Independent, close to republican",Extremely conservative,OPPOSE,NO,Ballot a
2024,1077,4,9th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1078,4,9th grade,High school,Not very strong democrat,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1079,2,2 years of college,Associate/junior college,Not very strong republican,Conservative,FAVOR,YES,Ballot a
2024,1080,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1081,2,2 years of college,Associate/junior college,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,1082,0,6 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1083,2,2 years of college,High school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1084,0,4 years of college,Bachelor's,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,1085,7,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1086,4,1 year of college,Associate/junior college,"Independent, close to republican",Slightly liberal,FAVOR,NO,Ballot a
2024,1087,2,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1088,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1089,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1090,0,5 years of college,High school,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1091,2,6 years of college,Graduate,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1092,0,10th grade,Less than high school,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1093,0,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,NO,Ballot c
2024,1094,2,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1095,0,4 years of college,Bachelor's,.n:  No answer,.n:  No answer,OPPOSE,NO,Ballot a
2024,1096,8 or more,8th grade,Less than high school,"Independent, close to republican",Slightly conservative,OPPOSE,YES,Ballot c
2024,1097,0,2 years of college,High school,"Independent, close to democrat",Extremely liberal,FAVOR,NO,Ballot a
2024,1098,1,2 years of college,Associate/junior college,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot a
2024,1099,1,8 or more years of college,High school,"Independent (neither, no response)",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1100,0,5 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,OPPOSE,.s:  Skipped on Web,Ballot a
2024,1101,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,1102,0,4 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1103,2,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1104,0,3 years of college,High school,Strong democrat,Liberal,FAVOR,.s:  Skipped on Web,Ballot a
2024,1105,2,4 years of college,Bachelor's,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1106,2,1 year of college,High school,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1107,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1108,0,12th grade,High school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1109,0,3 years of college,Associate/junior college,"Independent, close to republican",Conservative,OPPOSE,YES,Ballot c
2024,1110,0,12th grade,High school,"Independent (neither, no response)",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1111,0,No formal schooling,Less than high school,"Independent, close to democrat",Liberal,OPPOSE,NO,Ballot c
2024,1112,0,No formal schooling,Less than high school,Not very strong republican,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1113,4,1 year of college,High school,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1114,1,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1115,3,4 years of college,Bachelor's,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,1116,0,4 years of college,Bachelor's,.n:  No answer,.n:  No answer,FAVOR,YES,Ballot a
2024,1117,2,4 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,1118,0,2 years of college,High school,"Independent, close to republican","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1119,2,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1120,0,8 or more years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,1121,2,1 year of college,High school,Not very strong republican,.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot c
2024,1122,4,1 year of college,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1123,2,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,FAVOR,YES,Ballot a
2024,1124,1,4 years of college,Bachelor's,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1125,3,12th grade,High school,Strong republican,"Moderate, middle of the road",OPPOSE,.d:  Do not Know/Cannot Choose,Ballot c
2024,1126,0,2 years of college,Associate/junior college,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1127,0,2 years of college,High school,"Independent, close to republican",Conservative,OPPOSE,NO,Ballot a
2024,1128,1,3 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1129,0,6 years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1130,0,4 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1131,2,2 years of college,Associate/junior college,"Independent, close to republican",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1132,0,3 years of college,Associate/junior college,Other party,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1133,0,2 years of college,High school,Not very strong republican,Conservative,OPPOSE,YES,Ballot c
2024,1134,0,4 years of college,Bachelor's,"Independent (neither, no response)",Slightly liberal,OPPOSE,YES,Ballot a
2024,1135,0,2 years of college,High school,Strong republican,"Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,1136,3,2 years of college,High school,Not very strong republican,Conservative,OPPOSE,YES,Ballot a
2024,1137,4,6 years of college,Graduate,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1138,0,8 or more years of college,Graduate,"Independent (neither, no response)",.s:  Skipped on Web,FAVOR,NO,Ballot a
2024,1139,2,4 years of college,Bachelor's,Strong republican,Slightly conservative,OPPOSE,NO,Ballot c
2024,1140,0,8 or more years of college,Graduate,"Independent, close to democrat",Conservative,FAVOR,YES,Ballot a
